Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B170252,02/09/2017,,,600 Block Of Castro Street,94114,8,Castro/Upper Market,"37.7584836231287, -122.434844610371"
B170253,02/09/2017,,,600 Block Of Castro Street,94114,8,Castro/Upper Market,"37.7584836231287, -122.434844610371"
B170254,02/09/2017,,,600 Block Of Castro Street,94114,8,Castro/Upper Market,"37.7584836231287, -122.434844610371"
B170255,02/09/2017,,,500 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7782624010888, -122.461866214173"
B170256,02/09/2017,,,400 Block Of Laidley Street,94131,8,Glen Park,"37.7364616950834, -122.430113935292"
B170257,02/09/2017,,,200 Block Of 30th Street,94131,8,Noe Valley,"37.7421740196968, -122.426171158063"
B170247,02/08/2017,,,0 Block Of Kempton Avenue,94132,7,Oceanview/Merced/Ingleside,"37.7114576638837, -122.468365695899"
B170248,02/08/2017,,,700 Block Of Castro Street,94114,8,Castro/Upper Market,"37.7572825912305, -122.434728566976"
B170243,02/07/2017,,,0 Block Of Brant Alley,94133,3,North Beach,"37.8018094660102, -122.410456087808"
B170245,02/07/2017,,,1000 Block Of Ingerson Avenue,94124,10,Bayview Hunters Point,"37.7196891287171, -122.393876589377"
B170246,02/07/2017,,,700 Block Of Athens Street,94112,11,Excelsior,"37.7161715607964, -122.432481963993"
B170238,02/06/2017,"$12,000.00",2,2600 Block Of Phelps Street,94124,10,Bayview Hunters Point,"37.7289297451542, -122.401170689356"
B170239,02/06/2017,,,100 Block Of Ocean Avenue,94112,11,Outer Mission,"37.7234953609831, -122.440465803713"
B170240,02/06/2017,,,800 Block Of Greenwich Street,94133,3,Russian Hill,"37.801787886398, -122.413249157842"
B170241,02/06/2017,,,800 Block Of Greenwich Street,94133,3,Russian Hill,"37.801787886398, -122.413249157842"
B170242,02/06/2017,,,800 Block Of Greenwich Street,94133,3,Russian Hill,"37.801787886398, -122.413249157842"
B170244,02/06/2017,"$12,500.00",1,2200 Block Of Sutter Street,94115,5,Japantown,"37.7855093221504, -122.437370954133"
B170233,02/03/2017,,,0 Block Of Grand View Avenue,94114,8,Twin Peaks,"37.7568060381603, -122.440614599934"
B170234,02/03/2017,,,0 Block Of Grand View Avenue,94114,8,Twin Peaks,"37.7568060381603, -122.440614599934"
B170235,02/03/2017,,,0 Block Of Grand View Avenue,94114,8,Twin Peaks,"37.7568060381603, -122.440614599934"
B170236,02/03/2017,,,0 Block Of Grand View Avenue,94114,8,Twin Peaks,"37.7568060381603, -122.440614599934"
B170229,02/02/2017,,,100 Block Of Clayton Street,94117,5,Lone Mountain/USF,"37.773983549583, -122.449489915612"
B170230,02/02/2017,,,800 Block Of Castro Street,94114,8,Noe Valley,"37.7548956248953, -122.434362930642"
B170231,02/02/2017,,,1500 Block Of 43rd Avenue,94122,4,Sunset/Parkside,"37.7577704349088, -122.502447013201"
B170232,02/02/2017,,,1800 Block Of Sacramento Street,94109,2,Pacific Heights,"37.7911308536219, -122.423327344321"
B170184,02/01/2017,,,1400 Block Of Hayes Street,94117,5,Hayes Valley,"37.7747270865491, -122.440299348994"
B170185,02/01/2017,,,400 Block Of Waller Street,94117,5,Hayes Valley,"37.7711232916142, -122.431093525942"
B170186,02/01/2017,,,1400 Block Of Grove Street,94117,5,Hayes Valley,"37.7756633772526, -122.440489225361"
B170187,02/01/2017,,,1400 Block Of Grove Street,94117,5,Hayes Valley,"37.7756633772526, -122.440489225361"
B170188,02/01/2017,,,100 Block Of Hyde Street,94102,6,Tenderloin,"37.7821283722362, -122.415531198141"
B170189,02/01/2017,,,100 Block Of Hyde Street,94102,6,Tenderloin,"37.7821283722362, -122.415531198141"
B170175,01/31/2017,,,1400 Block Of South Van Ness Avenue,94110,9,Mission,"37.7499757968868, -122.415962154996"
B170176,01/31/2017,,,1400 Block Of South Van Ness Avenue,94110,9,Mission,"37.7499757968868, -122.415962154996"
B170177,01/31/2017,,,1400 Block Of South Van Ness Avenue,94110,9,Mission,"37.7499757968868, -122.415962154996"
B170178,01/31/2017,,,1400 Block Of South Van Ness Avenue,94110,9,Mission,"37.7499757968868, -122.415962154996"
B170179,01/31/2017,,,1400 Block Of South Van Ness Avenue,94110,9,Mission,"37.7499757968868, -122.415962154996"
B170180,01/31/2017,,,1400 Block Of South Van Ness Avenue,94110,9,Mission,"37.7499757968868, -122.415962154996"
B170182,01/31/2017,,,100 Block Of Beaumont Avenue,94118,1,Lone Mountain/USF,"37.7795186949654, -122.454767801104"
B170183,01/31/2017,,,100 Block Of Hoffman Avenue,94114,8,Noe Valley,"37.7529055280086, -122.440744402584"
B170174,01/30/2017,,,100 Block Of Upper Terrace,94117,8,Castro/Upper Market,"37.7649937279985, -122.443951805092"
B170170,01/27/2017,,,600 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7764027457591, -122.461731745079"
B170165,01/26/2017,,,3200 Block Of 25th Street,94110,9,Mission,"37.7507333784807, -122.415819362131"
B170171,01/26/2017,,,1300 Block Of Sacramento Street,94109,3,Nob Hill,"37.7922656367398, -122.415332380733"
B170172,01/26/2017,,,1300 Block Of Sacramento Street,94109,3,Nob Hill,"37.7922656367398, -122.415332380733"
B170173,01/26/2017,,,1300 Block Of Sacramento Street,94109,3,Nob Hill,"37.7922656367398, -122.415332380733"
B170164,01/25/2017,,,3900 Block Of Lincoln Way,94122,4,Sunset/Parkside,"37.7643402052422, -122.500288341261"
B170166,01/25/2017,,,200 Block Of Eureka Street,94114,8,Castro/Upper Market,"37.7582958475983, -122.437966749334"
B170167,01/25/2017,,,200 Block Of Eureka Street,94114,8,Castro/Upper Market,"37.7582958475983, -122.437966749334"
B170168,01/25/2017,,,200 Block Of Eureka Street,94114,8,Castro/Upper Market,"37.7582958475983, -122.437966749334"
B170169,01/25/2017,,,200 Block Of Eureka Street,94114,8,Castro/Upper Market,"37.7582958475983, -122.437966749334"
B170160,01/24/2017,,,2800 Block Of 16th Street,94103,9,Mission,"37.7652710850343, -122.416942308086"
B170161,01/24/2017,,,500 Block Of Chenery Street,94131,8,Glen Park,"37.7350939561484, -122.431073052252"
B170162,01/24/2017,,,1300 Block Of Alemany Boulevard,94112,8,Outer Mission,"37.729631999232, -122.433808042125"
B170163,01/24/2017,,,300 Block Of Lawton Street,94122,7,Inner Sunset,"37.7584759615909, -122.466460103223"
B170158,01/23/2017,,,1700 Block Of Filbert Street,94123,2,Marina,"37.7990163406752, -122.428290722359"
B170159,01/23/2017,,,0 Block Of Webster Street,94117,5,Hayes Valley,"37.7706934881713, -122.428404852406"
B170154,01/20/2017,,,1200 Block Of Hawes Street,94124,10,Bayview Hunters Point,"37.7283965724724, -122.381901411037"
B170156,01/20/2017,,,1700 Block Of 47th Avenue,94122,4,Sunset/Parkside,"37.7538472217877, -122.506609970663"
B170129,01/18/2017,,,300 Block Of Haight Street,94102,5,Hayes Valley,"37.7723661490425, -122.42796932761"
B170130,01/18/2017,,,400 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7801519496926, -122.462001728324"
B170131,01/18/2017,,,400 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7801519496926, -122.462001728324"
B170077,01/17/2017,,,300 Block Of San Carlos Street,94110,9,Mission,"37.7577823081628, -122.419834201322"
B170078,01/17/2017,,,500 Block Of Andover Street,94110,9,Bernal Heights,"37.7371388030777, -122.416552981699"
B170079,01/17/2017,,,1900 Block Of Fell Street,94117,5,Lone Mountain/USF,"37.7725275127751, -122.449976001328"
B170080,01/17/2017,,,1200 Block Of 11th Avenue,94122,5,Inner Sunset,"37.7648834655897, -122.468586140723"
B170073,01/12/2017,,,1400 Block Of 15th Street,94103,9,Mission,"37.766893128304, -122.417102244119"
B170074,01/12/2017,,,1400 Block Of 15th Street,94103,9,Mission,"37.766893128304, -122.417102244119"
B170070,01/11/2017,,,300 Block Of Alemany Boulevard,94110,9,Bernal Heights,"37.7340704702749, -122.412369796669"
B170071,01/11/2017,,,300 Block Of Alemany Boulevard,94110,9,Bernal Heights,"37.7340704702749, -122.412369796669"
B170072,01/11/2017,,,1500 Block Of Mcallister Street,94115,5,Western Addition,"37.7778460601501, -122.437520119093"
B170069,01/10/2017,,,200 Block Of Vienna Street,94112,11,Excelsior,"37.7243990506669, -122.427552377069"
B170003,01/04/2017,"$35,000.00",3,1500 Block Of 35th Avenue,94122,4,Sunset/Parkside,"37.7581465022235, -122.493874640158"
B170002,01/03/2017,,,400 Block Of Hoffman Avenue,94114,8,Noe Valley,"37.7500971536049, -122.440606260273"
B163640,12/29/2016,"$35,000.00",1,2800 Block Of Harrison Street,94110,9,Mission,"37.7518354320811, -122.41175404762"
B163931,12/27/2016,,,1900 Block Of Franklin Street,94109,2,Pacific Heights,"37.7924121071076, -122.424360895714"
B163932,12/27/2016,,,500 Block Of South Van Ness Avenue,94110,9,Mission,"37.7643732095444, -122.417478491697"
B163877,12/22/2016,,,3000 Block Of California Street,94115,2,Presidio Heights,"37.787488450967, -122.444566814597"
B163878,12/22/2016,,,3000 Block Of California Street,94115,2,Presidio Heights,"37.787488450967, -122.444566814597"
