Date_Filed,Filing_Party,Appeal_ID,Hardship_Appeal,Interpreter_Request,Address,Appeal_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
04/16/2001,tenant,AT010060,false,false,1300 Block Of Lombard Street,94109,2,Russian Hill,"(37.8015053643445, -122.423738557618)"
12/28/2015,landlord,AL150153,false,false,1200 Block Of 44th Avenue,94122,4,Sunset/Parkside,"(37.7633174159593, -122.504051664337)"
04/13/2009,landlord,AL090114,false,false,2400 Block Of Great Highway,94116,4,Sunset/Parkside,"(37.7407574921874, -122.506743510803)"
02/05/2015,tenant,AT150015,false,false,1700 Block Of Ofarrell Street,94115,5,Western Addition,"(37.7831335753794, -122.433517315464)"
02/03/2005,tenant,AT050011,false,false,2200 Block Of Laguna Street,94115,2,Pacific Heights,"(37.7917690744551, -122.429426846777)"
04/20/2005,tenant,AT050121,false,false,100 Block Of Garces Drive,94132,7,Lakeshore,"(37.7151948457584, -122.478943773295)"
01/14/1997,landlord,R001-40A,false,false,2800 Block Of California Street,94115,2,Pacific Heights,"(37.7880156111822, -122.44128573523)"
11/08/1999,tenant,U001-52R,false,false,300 Block Of Golden Gate Avenue,94102,6,Tenderloin,"(37.7816051271536, -122.416336252022)"
03/05/2008,landlord,AL080023,false,false,800 Block Of Corbett Avenue,94131,8,Twin Peaks,"(37.7533418919511, -122.443300509532)"
10/19/2009,landlord,AL090238,false,false,800 Block Of 27th Avenue,94121,1,Outer Richmond,"(37.7734020365765, -122.486470437105)"
03/14/2005,tenant,AT050045,false,false,1800 Block Of Turk Street,94115,5,Western Addition,"(37.779494968816, -122.439556998155)"
10/29/2002,tenant,AT020507,false,false,0 Block Of Edgar Place,94112,,,
02/02/2011,tenant,AT110020,false,false,1100 Block Of Filbert Street,94109,2,Russian Hill,"(37.800291617313, -122.418420789438)"
10/25/2002,tenant,AT020508,false,false,300 Block Of Arballo Drive,94132,7,Lakeshore,"(37.720124587971, -122.483106168792)"
02/03/2012,tenant,AT120015,true,false,0 Block Of Buena Vista East Avenue,94117,,,
03/05/1999,tenant,T001-55R,false,false,200 Block Of Monterey Boulevard,94131,7,West of Twin Peaks,"(37.7314751470034, -122.44088420356)"
08/06/2014,tenant,AT140155,false,false,2200 Block Of Pacific Avenue,94115,2,Pacific Heights,"(37.7937165638423, -122.432279480334)"
01/15/1997,tenant,R001-73R,false,false,2800 Block Of California Street,94115,2,Pacific Heights,"(37.7880156111822, -122.44128573523)"
08/28/2002,tenant,AT020307,false,false,0 Block Of Chumasero Drive,94132,7,Lakeshore,"(37.7133177847632, -122.472875861103)"
05/28/2009,tenant,AT090144,false,false,800 Block Of Leavenworth Street,94109,3,Nob Hill,"(37.7888452666742, -122.415346949038)"
02/26/2014,landlord,AL140023,false,false,200 Block Of Divisadero Street,94117,5,Haight Ashbury,"(37.770821365361, -122.436835270597)"
03/23/2015,tenant,AT150036,false,false,200 Block Of Chattanooga Street,94114,8,Noe Valley,"(37.7525614549053, -122.426474367085)"
03/30/2005,tenant,AT050112,false,false,1300 Block Of 31st Avenue,94122,4,Sunset/Parkside,"(37.7620615487273, -122.489987688373)"
04/23/1999,tenant,T001-80R,false,false,1900 Block Of Vallejo Street,94123,2,Marina,"(37.796012439826, -122.429371287502)"
01/27/2005,tenant,AT050005,false,false,700 Block Of Guerrero Street,94110,8,Mission,"(37.758756182709, -122.423643239035)"
04/20/2004,tenant,AT040041,false,false,300 Block Of Jones Street,94102,6,Tenderloin,"(37.7843907942332, -122.412757053469)"
04/11/2006,tenant,AT060033,false,false,600 Block Of Waller Street,94117,5,Haight Ashbury,"(37.7706513154894, -122.434805116991)"
04/05/2000,tenant,AT2K0044,false,false,1300 Block Of Hyde Street,94109,3,Russian Hill,"(37.7932350745624, -122.417915793413)"
06/30/2003,tenant,AT030166,false,false,400 Block Of Davis Court,94111,3,Financial District/South Beach,"(37.7967073397232, -122.398186155705)"
08/28/2002,tenant,AT020293,false,false,100 Block Of Cardenas Avenue,94132,7,Lakeshore,"(37.7197192058535, -122.476781504973)"
03/06/2007,landlord,AL070043,false,false,3100 Block Of 24th Street,94110,9,Mission,"(37.7525276226507, -122.414634473469)"
05/29/2013,tenant,AT130054,true,false,0 Block Of Belcher Street,94114,8,Castro/Upper Market,"(37.7685313597957, -122.430095414163)"
06/25/2001,landlord,AL010117,false,false,2300 Block Of California Street,94115,2,Pacific Heights,"(37.7890087146922, -122.432596839262)"
11/14/2006,landlord,AL060117,false,false,1700 Block Of Greenwich Street,94123,2,Marina,"(37.7999469336927, -122.428478709891)"
11/26/2003,landlord,AL030349,false,false,0 Block Of Fresno Street,94133,3,North Beach,"(37.7984850288628, -122.406749745907)"
10/28/1998,landlord,T001-23A,false,false,800 Block Of North Point Street,94109,2,Russian Hill,"(37.8055543241762, -122.421176195575)"
09/30/2009,landlord,AL090217,false,false,0 Block Of Minerva Street,94112,11,Oceanview/Merced/Ingleside,"(37.7156899155258, -122.454796659926)"
08/16/2010,landlord,AL100072,false,false,3500 Block Of 20th Street,94110,9,Mission,"(37.7586195932674, -122.420179323695)"
06/17/2015,tenant,AT150075,false,false,300 Block Of 30th  Avenue,94121,1,Outer Richmond,"(37.7827045727766, -122.490366876575)"
06/27/2013,tenant,AT130065,true,false,0 Block Of Crestline Drive,94131,8,Twin Peaks,"(37.7522780797344, -122.446513587068)"
12/01/1998,tenant,T001-32R,false,false,2200 Block Of Castro Street,94131,8,Noe Valley,"(37.7437098540632, -122.433288077203)"
03/27/2001,tenant,AT010040,false,false,500 Block Of Mason Street,94102,3,Nob Hill,"(37.7885578117649, -122.410081316498)"
12/14/2000,landlord,AL2K0231,false,false,500 Block Of Mason Street,94102,3,Nob Hill,"(37.7885578117649, -122.410081316498)"
10/28/2003,tenant,AT030334,false,false,1300 Block Of Lombard Street,94109,2,Russian Hill,"(37.8015053643445, -122.423738557618)"
