Date,Location
06/03/2016,"37.7625702847674, -122.407103556209"
06/10/2016,"37.7187685725986, -122.393206912963"
06/06/2016,
06/02/2016,"37.8042509635773, -122.408817647944"
06/08/2016,"37.7688628040085, -122.447967737413"
06/13/2016,"37.7133320723421, -122.403313250416"
06/13/2016,"37.7848660523979, -122.483938899101"
06/09/2016,"37.7170320587829, -122.463600623527"
06/06/2016,"37.7431291379962, -122.423681393686"
06/13/2016,"37.7746875469567, -122.499317754875"
06/02/2016,"37.735446184716, -122.396787161781"
06/13/2016,"37.720124587971, -122.483106168792"
06/20/2016,"37.7417826201109, -122.503008914256"
06/20/2016,"37.7844734199048, -122.445528413075"
06/13/2016,"37.7106642060279, -122.408348295009"
06/15/2016,"37.7532644103686, -122.497364893187"
06/15/2016,"37.7305535568288, -122.389751028995"
06/10/2016,"37.7513677226097, -122.419547489427"
06/06/2016,"37.7640212823079, -122.467920996809"
06/16/2016,"37.7894788171083, -122.414561132601"
02/28/2016,"37.7703725074906, -122.444508010654"
06/09/2016,"37.7640212823079, -122.467920996809"
06/13/2016,"37.7133320723421, -122.403313250416"
06/17/2016,"37.7558052682174, -122.411730086221"
06/15/2016,"37.7917690744551, -122.429426846777"
06/02/2016,"37.7858903309874, -122.411725719958"
06/06/2016,"37.7182918258114, -122.430413693354"
12/06/2016,"37.7917179898962, -122.408207946003"
12/02/2016,"37.7707101217756, -122.425947236793"
12/20/2016,"37.760317223375, -122.402072481963"
12/07/2016,"37.7408461321536, -122.427696841514"
12/23/2016,"37.7779545304876, -122.43754201259"
12/29/2016,"37.8038216376638, -122.441990778285"
12/05/2016,"37.7593280898576, -122.467126225901"
12/08/2016,"37.7763847738943, -122.442321333639"
12/16/2016,"37.7228664393915, -122.456076821323"
12/14/2016,"37.7191156868119, -122.443343534735"
12/12/2016,"37.7931487455498, -122.428793236859"
12/02/2016,"37.7852692576441, -122.460358015438"
12/29/2016,"37.749965679105, -122.442719819909"
12/30/2016,"37.8018454369215, -122.409396898279"
12/23/2016,"37.7779545304876, -122.43754201259"
12/08/2016,"37.7298602164123, -122.441337059382"
12/16/2016,"37.7153622676245, -122.473807137381"
12/01/2016,"37.7398320208926, -122.485070503962"
12/19/2016,"37.7564200939791, -122.490668176853"
12/19/2016,"37.7833862380728, -122.409853730443"
12/05/2016,"37.7770846303264, -122.48780628455"
12/19/2016,
12/27/2016,"37.7932824231787, -122.407341354714"
12/15/2016,"37.7745478676144, -122.426728379661"
12/06/2016,"37.7793848990527, -122.445397308062"
12/19/2016,"37.7833862380728, -122.409853730443"
12/12/2016,"37.7323435108275, -122.388141018695"
12/05/2016,"37.7895840675666, -122.428071912356"
12/19/2016,"37.7777903091017, -122.412834332583"
12/05/2016,"37.7833862380728, -122.409853730443"
12/29/2016,"37.7304466953312, -122.385513747276"
12/07/2016,"37.7689208498834, -122.451702521607"
12/27/2016,"37.7133177847632, -122.472875861103"
12/13/2016,"37.7452788998177, -122.488811108276"
12/12/2016,"37.801382030357, -122.443060716973"
12/20/2016,"37.7247095200648, -122.428200759746"
12/29/2016,"37.7439601063067, -122.428990049065"
12/05/2016,"37.7715296496118, -122.434542909332"
