Date,Location
04/14/2000,"37.7777771263331, -122.472570989464"
08/24/2006,"37.804798118127, -122.442969795883"
09/30/2004,"37.800291617313, -122.418420789438"
12/08/2006,"37.8017531005169, -122.408109345533"
06/04/1998,"37.7726564013295, -122.452462337967"
08/07/2006,"37.7406971631214, -122.468977689744"
04/05/2002,"37.7682417339391, -122.419597974608"
02/25/2014,"37.7900048583685, -122.413753783769"
08/07/2015,"37.7736972019224, -122.427336314764"
05/01/1998,"37.7719000818191, -122.427875131918"
07/16/2010,"37.7632968298674, -122.461896473209"
05/12/1997,
06/08/1999,"37.7655176927578, -122.464198007008"
05/17/2004,"37.7850386505831, -122.455857313604"
10/07/2005,"37.76075852563, -122.423838174584"
09/24/2001,"37.7447521689588, -122.423454308051"
06/04/1998,"37.7638339722757, -122.407431311685"
05/03/2012,"37.8049162174513, -122.439357684167"
06/12/2007,"37.7914566786989, -122.417418429991"
06/12/1998,"37.7523640824492, -122.497767400127"
12/05/2006,"37.7605503680972, -122.445096401567"
04/17/2015,"37.7389606167945, -122.414255113199"
11/07/2003,"37.7538801432168, -122.416954469278"
01/28/1998,"37.8015452606013, -122.404853635678"
06/23/1998,"37.7971151579214, -122.419894323283"
02/05/2016,"37.7175134680329, -122.48059457481"
09/09/2010,"37.7542378494013, -122.425238262135"
04/07/1998,"37.7191260341886, -122.460144284808"
03/29/2012,"37.7824852064672, -122.410687956037"
11/29/1999,
04/11/2008,"37.7879259429805, -122.449490748525"
04/26/2000,"37.715176682901, -122.468976770774"
11/18/1999,"37.7501648379442, -122.412831855348"
06/05/2015,"37.7647436568647, -122.460921330022"
09/17/2001,"37.737901469732, -122.423138550271"
07/30/2015,"37.7548405075406, -122.484108127485"
02/12/2016,"37.7280656597949, -122.426921734273"
08/29/2005,"37.7515098437975, -122.417210393427"
01/06/2006,"37.7897956955651, -122.415397149543"
01/02/1997,"37.7584863039196, -122.422385383102"
07/21/1999,"37.7485807504128, -122.419139646949"
08/24/2007,"37.7624583434233, -122.503383985194"
11/15/2010,"37.7447305520446, -122.422242631951"
12/09/2004,"37.7856317812488, -122.413782612855"
02/13/2002,"37.7693364040254, -122.444272580997"
09/12/2008,"37.7815374328775, -122.409518340985"
11/22/2000,"37.7446708466192, -122.502606128265"
11/21/2000,"37.7362537956935, -122.387097160634"
06/15/2009,"37.7247798040942, -122.406870463727"
03/21/2007,"37.7764852876297, -122.44065533919"
01/30/2006,"37.7452689969112, -122.417607033803"
06/29/2000,"37.8010711540078, -122.44221268398"
04/29/2015,"37.7314701615243, -122.44315305059"
06/23/2014,"37.7970533891744, -122.447017802272"
02/07/2001,"37.7999745035596, -122.420050559374"
12/17/2015,"37.7437982464442, -122.456194136616"
07/11/2008,"37.7197628607723, -122.483852302701"
03/04/2014,"37.7737937151615, -122.477902632489"
08/12/2015,"37.7702606602286, -122.45290189114"
02/27/2009,"37.7743214336435, -122.439303193374"
05/21/2008,"37.7746186379691, -122.440277285542"
06/26/2000,"37.7868785026124, -122.419088531076"
03/03/2010,"37.7848073883993, -122.413615438151"
10/24/2008,"37.7840910359198, -122.411784369501"
05/09/1997,"37.7587860210423, -122.417423841527"
09/11/2014,"37.7835654759009, -122.415051136713"
11/12/2015,"37.7192584870332, -122.391450987924"
09/15/1997,"37.7557459377573, -122.483565461197"
02/05/2016,"37.720124587971, -122.483106168792"
11/14/1997,"37.773983549583, -122.449489915612"
02/10/2011,"37.7938847525297, -122.423882414798"
10/27/1997,"37.7459510539846, -122.410462512825"
02/08/2016,"37.7121182083661, -122.397069395275"
10/23/2000,"37.7815854030908, -122.423090189161"
02/25/2005,"37.8008661594546, -122.435427177962"
06/17/2014,"37.7438450988551, -122.478900980463"
10/28/2010,"37.7185965928262, -122.483884158039"
09/22/2006,"37.7412158812476, -122.496053142055"
12/12/2003,"37.7897956955651, -122.415397149543"
04/29/2005,"37.7895057690711, -122.443287152718"
03/25/2010,"37.7575108003902, -122.485840449063"
04/16/2007,"37.7824484978672, -122.416327441746"
07/28/1999,"37.7185715444076, -122.428641751735"
01/25/2011,"37.7530999810627, -122.417500850902"
03/06/2014,"37.7579622840279, -122.423559852269"
02/28/2003,"37.7315636495975, -122.488063151749"
10/03/2006,"37.7744180856553, -122.485936933123"
11/15/1999,"37.766893128304, -122.417102244119"
12/15/2006,"37.7729735025431, -122.43824483915"
07/19/2000,"37.7897914508404, -122.411243472892"
03/14/2006,"37.7609433606935, -122.420805121097"
02/09/2005,"37.7860492012925, -122.477105652765"
10/24/2007,"37.7834029398827, -122.444654876268"
10/26/1999,
02/05/2016,"37.7175134680329, -122.48059457481"
12/22/1998,"37.7553586642401, -122.406682611982"
10/29/2010,"37.7518353099424, -122.431842736633"
11/16/1998,"37.7840251616014, -122.461202829145"
03/16/1998,
11/20/1997,"37.749230850623, -122.44851892768"
04/03/2000,"37.7748088973549, -122.453831956557"
10/08/1998,"37.7752571736236, -122.435295111889"
07/27/1998,"37.7783905161473, -122.480849497679"
04/30/2010,"37.7718470065427, -122.432924490788"
01/22/2007,"37.8013151081171, -122.42538742411"
06/17/2004,"37.7830068611347, -122.483800844068"
03/28/2014,"37.7170202515131, -122.399987919814"
04/26/2010,"37.7902443777761, -122.407673839266"
08/02/2011,"37.7963013743762, -122.445435913463"
05/12/2011,"37.7190118677214, -122.480450749483"
06/03/2013,"37.7848073883993, -122.413615438151"
12/22/2000,"37.7782447239419, -122.504019711584"
02/02/2001,"37.7840251616014, -122.461202829145"
04/02/2013,"37.7323449353369, -122.422732783648"
08/05/1998,"37.760054551538, -122.493071573349"
09/28/2000,"37.7947868184194, -122.419912480811"
05/09/2005,"37.7912015280673, -122.441001081865"
02/11/2002,"37.7633235429375, -122.503913503441"
06/23/2014,"37.7597777459441, -122.499361902042"
03/19/2001,"37.7114374154894, -122.404201970187"
07/10/2009,"37.7305108853262, -122.385625993342"
12/05/1997,"37.7979514348523, -122.443292158405"
09/22/2011,"37.7190118677214, -122.480450749483"
08/09/2000,"37.7419408430517, -122.50194411826"
05/23/2002,"37.7135429927431, -122.413264696564"
05/18/2000,"37.7576764115793, -122.5045907174"
08/04/2014,"37.769532265968, -122.446907671921"
03/27/1998,"37.7717365109191, -122.408065345998"
03/07/2003,"37.7744861394387, -122.45733752507"
12/05/2001,"37.7613042680659, -122.507133779937"
02/05/2016,"37.7175134680329, -122.48059457481"
01/15/1997,"37.7855979090043, -122.467900456763"
03/25/2009,"37.7766584531946, -122.422862120818"
09/08/2009,"37.7805348135699, -122.4397692041"
04/24/1998,"37.7251219435646, -122.433504548969"
08/31/2012,"37.7554326511166, -122.438308315926"
09/20/2005,"37.7723455678276, -122.443190213351"
01/22/1998,
09/02/1998,"37.7653773942648, -122.436877698815"
10/29/2012,"37.7857569610405, -122.424841095041"
01/17/2006,"37.7660417717525, -122.429367378757"
04/15/1998,"37.7549231301783, -122.501779650896"
05/30/2008,"37.750211641844, -122.446391159283"
10/13/2006,"37.7752362230299, -122.414406294387"
04/13/2009,"37.771655221243, -122.432113601819"
02/18/2000,"37.7758548584821, -122.445614414887"
01/12/2000,"37.7828143654884, -122.451355869625"
10/30/2000,"37.7588627593708, -122.394298751245"
08/10/2000,"37.7848660523979, -122.483938899101"
10/17/2003,"37.7661343878594, -122.4219350769"
11/04/2004,"37.7841558193152, -122.480192061422"
07/03/2002,"37.7283446395885, -122.38609172665"
07/28/1999,"37.7697894912929, -122.422750176884"
06/02/2005,"37.7879661192699, -122.459286464511"
05/21/2001,"37.7333230259731, -122.408594688189"
05/28/1999,"37.7144274138996, -122.434866106393"
02/07/2006,"37.7495741557478, -122.435028130858"
04/04/2012,"37.7749376889187, -122.434457138283"
10/12/1999,"37.7413688555834, -122.422541993376"
01/06/1999,"37.753085028004, -122.384403544117"
08/10/2006,"37.7679729376262, -122.451649906387"
06/28/2000,"37.7745478676144, -122.426728379661"
06/29/1999,"37.7378858877271, -122.390296258635"
06/18/1999,"37.7990823958098, -122.446135841698"
02/20/2004,"37.803216045473, -122.4325146308"
05/23/2002,"37.7734572246839, -122.485260560877"
11/13/2007,"37.7757652648937, -122.438812235564"
06/10/1999,"37.7175134680329, -122.48059457481"
11/02/2011,"37.7584772686449, -122.48637770959"
05/28/2010,"37.7777903091017, -122.412834332583"
10/18/2007,"37.7774337935271, -122.429916785861"
08/06/1997,"37.7866547416587, -122.42502102689"
04/08/2016,"37.7585185757573, -122.485441067267"
01/20/1998,"37.7134307040443, -122.403252360709"
12/15/1998,"37.74840056907, -122.422415578323"
02/28/2014,"37.7564943685298, -122.41453351553"
12/02/1998,"37.7527125373974, -122.409592911999"
01/04/2001,"37.7794880679854, -122.406942924938"
09/20/2010,"37.7887501005974, -122.419470397738"
02/05/1999,"37.7105772230967, -122.43326330172"
06/11/2015,"37.7997322776265, -122.425975742311"
10/08/1997,"37.7756855449657, -122.44694597707"
03/13/2015,"37.7150859955911, -122.478925115603"
04/04/2005,"37.7135941845401, -122.468058838118"
08/07/2006,"37.7726693665032, -122.417128907253"
07/24/2007,"37.7675070760871, -122.431739942112"
06/13/2001,"37.7643193892556, -122.481405837745"
05/27/2016,"37.7871735246735, -122.417641342758"
01/16/2014,"37.7349122711455, -122.447517633025"
04/16/2012,"37.7944481958271, -122.425681947882"
10/21/1998,"37.757322453303, -122.429051968676"
06/05/2001,"37.7320921388034, -122.390802703763"
02/24/2010,"37.7548475595219, -122.503923691892"
03/29/2012,"37.7586664208599, -122.482086758198"
08/04/2010,"37.7877776319031, -122.453749268786"
07/12/2000,"37.7927592491252, -122.411464544049"
06/19/2015,"37.7451771792659, -122.427924267501"
11/15/2002,
01/05/2001,"37.7532046648256, -122.403889561443"
04/15/2014,"37.7687150428892, -122.449998924915"
09/28/2004,"37.7510716060065, -122.412034644666"
08/16/2001,"37.7691865676724, -122.449617927125"
10/24/2013,"37.7927592491252, -122.411464544049"
04/17/1997,"37.776175551239, -122.443967116976"
02/25/2011,"37.7961971224445, -122.438753767562"
09/07/2000,"37.7311395195679, -122.396036531655"
10/16/2007,"37.7906289226654, -122.419850856276"
09/17/1998,"37.7627654068998, -122.417324660819"
02/28/2012,"37.7650413541634, -122.420746190177"
07/29/2011,"37.8002723546822, -122.433605968215"
02/22/2006,"37.7536365056746, -122.406463425545"
07/31/2008,"37.7757652648937, -122.438812235564"
12/10/2002,"37.7956320141021, -122.413345328313"
04/09/2002,"37.7603853186778, -122.48557194661"
04/13/2004,"37.8048443203362, -122.412608500182"
01/25/2000,"37.7556559649442, -122.416025190827"
07/13/2015,"37.7798915871252, -122.403958049212"
04/10/2002,"37.752005858641, -122.421363754317"
03/05/2009,"37.7385083876258, -122.409057186504"
08/20/2010,"37.7599260499027, -122.445043500649"
12/28/1998,"37.8050301528535, -122.417867154107"
09/16/2005,"37.7764852876297, -122.44065533919"
07/27/1999,"37.7817852799976, -122.453692658067"
03/10/1998,
07/17/1997,"37.7789869252719, -122.48780634438"
11/15/1999,"37.7693225160575, -122.448552564376"
02/06/2013,"37.7181416217704, -122.398338617301"
03/06/1998,"37.7676166144017, -122.431750420173"
09/09/2014,"37.7974918683386, -122.417861775995"
04/26/1999,"37.7534815567767, -122.411110362482"
02/18/2003,"37.7718470065427, -122.432924490788"
08/04/2015,"37.7744290294618, -122.430986461512"
08/13/2009,"37.7638966184378, -122.406436353945"
01/13/2014,"37.7124537800243, -122.449168857673"
12/24/2009,"37.7276898636248, -122.421178656383"
11/08/2012,"37.8044775555681, -122.444614636868"
02/19/2010,"37.7580354885159, -122.415633764587"
12/05/1997,"37.7579695976698, -122.416727053265"
07/27/2012,"37.7387987653579, -122.430990849256"
06/10/2014,"37.7579037625815, -122.417819318278"
11/25/1997,"37.8027224495194, -122.42499612265"
07/18/2001,"37.7752070095879, -122.509634364661"
08/18/1997,"37.7761584735051, -122.467084259779"
01/29/2004,"37.7532640269525, -122.477412671026"
10/26/2009,"37.8293003222251, -122.377152280463"
11/01/2010,"37.8030999989134, -122.436950517536"
09/25/2014,"37.7873105300176, -122.450142469562"
04/28/2014,"37.774817064227, -122.412845031059"
10/26/1999,"37.8061340182637, -122.409910017195"
05/27/1998,"37.7610522287538, -122.470468864945"
10/28/1999,"37.800450700301, -122.42766682239"
06/30/1998,"37.7409724681477, -122.421564343144"
07/24/2014,"37.7584836231287, -122.434844610371"
10/29/1999,"37.798797500099, -122.415083693773"
07/07/2000,"37.7756934454774, -122.425208793779"
12/06/1999,"37.8029599133934, -122.423113037909"
02/11/2009,"37.7613860092284, -122.482883769686"
01/08/2015,"37.7954776822632, -122.421743807207"
12/14/2004,"37.793733696378, -122.417102818855"
03/25/2003,"37.7627604262569, -122.44601654667"
04/19/2001,
07/28/2004,"37.7609766088153, -122.434457353518"
07/28/1999,"37.7739279816706, -122.496653032613"
09/15/2014,"37.7982724199319, -122.441643990808"
07/01/2008,
08/16/2012,"37.7795310847755, -122.413542549251"
06/10/2003,"37.7280743817575, -122.414642387344"
02/10/1997,"37.7608183315062, -122.423017163698"
02/05/2016,"37.7175134680329, -122.48059457481"
11/09/2005,"37.7559025883826, -122.400816594514"
03/10/2014,"37.7762095924813, -122.420316348058"
05/25/2006,"37.7642250106821, -122.434199642664"
06/16/1998,"37.7540813155406, -122.501114509065"
03/05/1998,"37.739142223499, -122.429773232546"
06/08/1999,"37.7658666579449, -122.419678114553"
01/07/1999,"37.7794159427575, -122.478304609733"
01/09/1997,
10/28/2010,"37.7208318413646, -122.483066441736"
04/03/1997,"37.7614166781352, -122.432901430931"
01/12/2001,"37.8016529099772, -122.412869996601"
02/01/2000,"37.7085320505451, -122.460226548373"
07/25/2000,"37.7489660407066, -122.490004708105"
08/22/2013,"37.7814839532473, -122.435646756575"
07/17/1997,"37.7839836411033, -122.446072045303"
02/21/1997,"37.7505068710063, -122.432895020461"
02/02/2000,
04/17/1997,"37.7869698365419, -122.434293836877"
07/19/2000,"37.7658493244484, -122.434368974143"
04/22/2002,"37.7772285867709, -122.435696633959"
10/24/2008,
10/04/2006,"37.7781172741436, -122.465070483218"
08/11/2009,"37.7318711163206, -122.394396939075"
08/25/2011,"37.7172041622774, -122.438404557332"
07/15/2002,"37.7434181409781, -122.43221520993"
09/26/2006,"37.8021635807448, -122.414518424685"
04/30/2003,
05/10/2000,"37.7586664208599, -122.482086758198"
10/05/2012,"37.7598966469726, -122.438119880206"
05/08/1998,"37.7412636784442, -122.494983668331"
11/13/2006,"37.7359856776976, -122.425793479495"
07/21/2005,"37.7394043556184, -122.436142605071"
08/07/1998,"37.7878056332589, -122.442942312509"
03/27/2014,"37.7513677226097, -122.419547489427"
10/13/2015,
02/25/2016,"37.803216045473, -122.4325146308"
10/16/2014,"37.7652067507312, -122.426591617441"
07/12/2001,"37.7768041862456, -122.439021582559"
02/24/2004,"37.7225440044528, -122.43046532808"
05/22/2006,"37.7704847874306, -122.43005216964"
09/18/2008,"37.784299382348, -122.410141319915"
03/19/2015,"37.7796642525789, -122.47284533062"
06/01/2012,"37.7243221956566, -122.46272666806"
01/13/1997,"37.7499757968868, -122.415962154996"
08/22/2014,"37.7842880916647, -122.416878028488"
03/18/2013,"37.7783594294735, -122.459723509795"
05/06/2005,"37.7387417650377, -122.390854570358"
07/14/2011,"37.7531373878535, -122.502730775392"
11/16/2000,"37.7854589704825, -122.470978944894"
10/27/2010,"37.7191290046485, -122.458239208654"
03/14/2014,"37.764104410153, -122.421877974156"
11/12/1998,"37.7727724969859, -122.427141201971"
07/12/2004,"37.77814016124, -122.442675249733"
08/13/1999,"37.7855250744777, -122.460849448471"
10/18/1999,"37.7758850861085, -122.430365346682"
03/14/2006,"37.7631029757725, -122.466314668635"
01/07/2005,
03/10/2014,"37.7436506101057, -122.483326415812"
03/13/2015,"37.7319521057602, -122.396831724025"
06/21/2002,"37.7505017382112, -122.41966143407"
07/06/2015,"37.7793747229048, -122.479242794921"
12/17/2013,"37.7776339843552, -122.426431627977"
08/08/2002,"37.7940363358299, -122.411014199664"
06/23/2010,"37.720124587971, -122.483106168792"
02/08/2016,"37.7170320587829, -122.463600623527"
09/09/2013,"37.7848073883993, -122.413615438151"
07/08/1997,"37.7747500421103, -122.435966326974"
08/24/2006,"37.804798118127, -122.442969795883"
09/25/2009,"37.7318711163206, -122.394396939075"
08/19/2014,"37.7752684989259, -122.428555766458"
10/27/1997,"37.7436977235424, -122.482255207812"
09/21/2001,
07/14/2003,"37.7836739526207, -122.415072980765"
09/11/2015,"37.8002372200055, -122.407890921307"
06/05/2006,"37.7666629419681, -122.426732392162"
12/14/2009,
10/17/2006,"37.7762873645032, -122.429541615243"
10/26/2001,"37.7650851475266, -122.457668075876"
10/20/2014,"37.7344812745743, -122.391912066786"
08/04/2004,"37.7613870520563, -122.462837875916"
01/30/2006,"37.783982558582, -122.411762530264"
11/19/2004,"37.8016854993487, -122.414070883026"
10/10/2001,"37.7864458346223, -122.445920448686"
06/26/1998,"37.7783512879401, -122.441028449051"
02/10/2000,"37.785283958956, -122.443344755862"
04/16/2015,"37.728187028289, -122.380818340915"
09/18/2013,"37.7967959469316, -122.418633009353"
12/28/2000,"37.7746875469567, -122.499317754875"
01/04/2000,"37.7925017051685, -122.413482451938"
04/30/2002,"37.7828439869136, -122.421651291229"
08/28/2008,"37.7179164496941, -122.453780401974"
08/22/2000,"37.7939264096423, -122.430637262697"
02/03/1998,"37.7985353015701, -122.405486521242"
02/25/2016,"37.7280656597949, -122.426921734273"
08/13/2008,"37.7654653110453, -122.433148064571"
02/02/2007,"37.7428855887183, -122.427705104183"
02/24/2015,"37.8036530489338, -122.44444741173"
02/24/2016,"37.7812876875414, -122.411318055944"
05/11/1999,"37.7524211884142, -122.405338378316"
01/12/2001,"37.7586076315729, -122.403931583185"
10/10/1997,"37.728818169926, -122.432856485096"
04/21/1997,"37.7585455692762, -122.44527073621"
05/05/2000,"37.728410280577, -122.394523611263"
03/28/2013,"37.770821365361, -122.436835270597"
10/17/2007,"37.7754157857184, -122.457464673593"
07/02/2001,"37.777083463941, -122.416979326588"
06/18/2001,"37.7155763463954, -122.438970977091"
06/17/2011,"37.7483830827855, -122.422653714845"
12/02/2004,"37.7661343878594, -122.4219350769"
02/28/2007,"37.7520810027236, -122.435274998155"
08/12/2013,"37.7166731173383, -122.474173684903"
09/10/2003,"37.7634528105506, -122.46083125136"
08/11/2006,"37.7989931132759, -122.405902369785"
06/18/2014,"37.7687684547541, -122.421348340941"
05/07/2013,"37.7868498596518, -122.442748666581"
11/21/2008,"37.7396056363534, -122.427778271795"
02/06/1998,"37.742796580782, -122.502611747737"
10/30/2006,"37.7616359421423, -122.499631122236"
04/06/2004,"37.721623443423, -122.426180850933"
04/23/2010,"37.7382707287461, -122.396917502606"
07/05/2013,"37.7723803994439, -122.508821437007"
03/25/2005,"37.7415946910896, -122.487480475643"
04/25/2016,"37.777400364101, -122.408565501164"
02/11/2013,"37.7533065017189, -122.414090778467"
03/24/2009,"37.7372540255615, -122.422102908805"
03/29/2010,"37.7605743067155, -122.481282053316"
06/01/1999,"37.7712162013517, -122.437888282744"
03/05/2008,"37.7945147742853, -122.418943712193"
12/23/2002,
03/26/2014,"37.7690757522, -122.420788636217"
06/13/2008,"37.7913828373506, -122.415715549277"
11/20/1998,"37.7874914657033, -122.429335709622"
01/15/2016,"37.7287363511817, -122.423197897202"
05/19/2005,"37.7643732095444, -122.417478491697"
12/19/2014,"37.7725827939262, -122.430463244401"
04/21/2005,"37.7624393324872, -122.481412711703"
04/10/2015,"37.7889556109166, -122.417825829922"
02/23/2001,"37.7930477849491, -122.430455129511"
11/13/1998,"37.7439060468469, -122.422318438158"
12/19/2000,"37.7416856074838, -122.50515177852"
02/29/2016,"37.7619288904656, -122.455047411686"
01/22/2003,"37.7627737268222, -122.417186682986"
05/12/2011,"37.7168629030653, -122.481645415332"
07/09/1998,"37.7429496461386, -122.420904705885"
06/29/1998,"37.7642250106821, -122.434199642664"
03/07/2001,"37.7985353015701, -122.405486521242"
10/30/2006,"37.7740811438355, -122.426634022591"
05/03/2012,"37.7811643494204, -122.452074517886"
07/02/1999,"37.7645085777744, -122.477112517376"
11/08/2012,"37.8059805975728, -122.411141131429"
08/20/1999,"37.7243564586059, -122.431901999761"
04/18/2007,"37.7334588273843, -122.42811924178"
05/15/2000,"37.803216045473, -122.4325146308"
06/01/1998,"37.7985835356806, -122.438324332382"
07/30/2015,"37.7234425905717, -122.427628074803"
12/19/2008,"37.731089755453, -122.389268389632"
04/30/1997,"37.7645058863976, -122.429604468361"
07/11/2001,"37.7489353158739, -122.418973024634"
09/09/2004,"37.7862985142026, -122.408477809152"
11/03/1998,"37.7902443777761, -122.407673839266"
08/09/2010,"37.7217937922648, -122.397014794066"
04/11/2016,"37.7812186040386, -122.441050130126"
09/08/2014,"37.7862096917452, -122.476043851058"
09/24/2008,"37.7476683425129, -122.477019672718"
06/05/2002,"37.7654569692651, -122.433286045309"
08/07/2000,"37.7828276499279, -122.409708423347"
04/22/2002,"37.7421769863498, -122.409494196076"
11/16/1998,"37.7502392381747, -122.41160055919"
06/30/2003,"37.7569871046993, -122.477812744193"
08/16/2012,"37.7795310847755, -122.413542549251"
03/19/1997,"37.7140533223028, -122.415121573743"
01/31/2000,"37.7723557461626, -122.49008215581"
04/21/1998,"37.7140912010697, -122.439959096343"
07/13/2006,"37.7185537280632, -122.475518971827"
03/08/2012,"37.7796033026805, -122.439579939456"
06/13/2011,"37.7748701731982, -122.394417072047"
02/21/2007,"37.7374861949095, -122.388879303197"
05/04/2005,"37.7935363583818, -122.415658185959"
10/16/1997,"37.7837376864231, -122.443805103085"
10/16/2007,"37.7807920800724, -122.408385745869"
01/19/2016,"37.7982147327483, -122.411265123846"
03/10/1997,
12/09/2015,"37.7316926207371, -122.402368462167"
11/13/2007,"37.7837892970611, -122.409266307594"
09/18/1998,"37.787713208676, -122.45113578711"
06/24/2005,"37.7921572633571, -122.419243422295"
11/14/2005,"37.7752684989259, -122.428555766458"
10/10/2007,"37.7200487735575, -122.431735873116"
09/18/2000,"37.7759061460999, -122.423567114822"
03/22/2002,"37.7627024065833, -122.418417366628"
10/21/2010,"37.7725271142932, -122.505610028752"
01/30/2006,"37.7837892970611, -122.409266307594"
02/19/1997,"37.777083463941, -122.416979326588"
11/29/2011,"37.7255316251061, -122.429925994259"
11/24/2014,"37.7423060421561, -122.44040029984"
03/07/2002,
02/05/2013,"37.735384694585, -122.388260839842"
10/04/1999,"37.7809746791589, -122.428825144736"
12/08/2003,"37.7897956955651, -122.415397149543"
01/12/2010,"37.7464385380621, -122.504881060214"
03/14/1997,"37.7756454675166, -122.412432457463"
02/11/2002,"37.7895803830903, -122.412891156959"
08/20/2015,"37.7657830010356, -122.458844625838"
09/15/1998,"37.7208318413646, -122.483066441736"
06/26/1997,"37.7206820613361, -122.445184207198"
08/01/1997,"37.7713391007954, -122.421139607627"
04/18/2007,"37.7169383084329, -122.434084552894"
12/18/1997,"37.7702426018732, -122.429638216504"
04/23/2009,"37.7813416542246, -122.478443283417"
01/15/2013,"37.7727413120742, -122.415881424793"
08/10/2015,"37.7337337199008, -122.392373014374"
09/16/2003,"37.785283958956, -122.443344755862"
08/09/2005,"37.7836739526207, -122.415072980765"
04/29/2002,"37.7823055197523, -122.449625745105"
11/13/2008,"37.7110467369414, -122.446989356288"
12/21/1998,"37.7497103476929, -122.420361382547"
10/17/2011,"37.7643193892556, -122.481405837745"
08/20/2003,"37.7645606498021, -122.49493037997"
08/12/1997,
12/17/2008,"37.8027412587816, -122.429043717648"
03/21/2007,"37.7830590622136, -122.415719877985"
05/02/2007,"37.7456948892503, -122.426925757836"
07/18/2008,"37.7553034017083, -122.407594196677"
05/15/2006,"37.7755606607907, -122.427703251918"
02/05/2001,"37.7661763075991, -122.427142652694"
05/03/2012,"37.7513762990066, -122.419409557671"
10/02/1998,"37.7634528105506, -122.46083125136"
10/26/2000,"37.7438421823509, -122.431071091104"
08/16/2002,"37.7120385153432, -122.407738394968"
04/17/2014,"37.7195997440282, -122.393956985165"
11/14/2011,"37.7809676395843, -122.416978282895"
10/21/2010,"37.7745831656304, -122.501599388072"
08/01/2001,"37.7519940445683, -122.409122858314"
03/27/2014,"37.7513677226097, -122.419547489427"
08/10/1998,"37.7400945991661, -122.424281005815"
06/25/2004,"37.7572975615035, -122.421224687513"
04/22/2002,
08/07/1997,"37.7617778270192, -122.496418264588"
09/05/2003,"37.7862985142026, -122.408477809152"
05/11/2015,"37.7856317812488, -122.413782612855"
05/30/2008,"37.7634100550694, -122.43906507197"
12/21/2011,"37.7867689879817, -122.416612241994"
04/08/2013,"37.7684229706176, -122.426590385771"
09/23/2015,"37.7929008122475, -122.434714045544"
08/30/2010,"37.7156320409131, -122.480767509243"
06/08/2005,"37.7833862380728, -122.409853730443"
03/23/1999,"37.7953847413824, -122.434302143375"
03/07/2011,"37.7742460293834, -122.508955825349"
12/23/2013,"37.7755599917228, -122.444618039566"
07/05/2001,"37.7608183315062, -122.423017163698"
10/28/2005,"37.780244913082, -122.459999104472"
01/23/2015,"37.7679904469086, -122.451513290511"
11/19/2002,"37.7497773586554, -122.419254184354"
08/01/2013,"37.7565605301443, -122.413439435859"
06/05/2001,"37.7620264629829, -122.443782630363"
05/27/1999,"37.7769806947473, -122.425527315669"
02/27/2002,"37.7134077843071, -122.463558451362"
11/03/2010,"37.739476571997, -122.422865684271"
12/21/2012,"37.7894788171083, -122.414561132601"
03/08/2007,"37.7508300237264, -122.490135504846"
09/29/2014,"37.7795136007975, -122.432784844572"
10/16/2001,"37.7661259458304, -122.422073049205"
07/07/1999,
01/26/2005,"37.7536695910827, -122.422278418489"
03/09/1998,"37.7803900797928, -122.503098446309"
04/06/2015,"37.7808261050364, -122.397440476092"
07/07/2000,
02/21/2013,"37.7205172465965, -122.481151214922"
08/10/1998,"37.7725696176622, -122.504681383702"
01/14/1999,"37.7904631782912, -122.405941469471"
04/02/2002,"37.717638487224, -122.451258430735"
11/21/1997,"37.7548514151647, -122.429411068931"
03/05/2014,"37.7977905019785, -122.418834117104"
10/15/1997,"37.794606398081, -122.410294571164"
10/03/2012,"37.779956131216, -122.466426590898"
06/27/2013,"37.7891607825316, -122.416183426142"
08/23/2007,"37.7556706106253, -122.507670205188"
06/04/2002,"37.7330459735043, -122.441452266552"
05/19/2008,"37.7515809399162, -122.441711966623"
06/08/1998,"37.7525693952161, -122.426336372717"
05/24/2004,"37.7910106632219, -122.416733654082"
03/27/2003,"37.7826355122089, -122.414862827874"
08/16/2001,"37.7685313597957, -122.430095414163"
05/03/2012,"37.8027609353469, -122.4097236604"
11/05/2015,"37.7588627593708, -122.394298751245"
03/19/2001,"37.7485954396366, -122.418024677549"
11/22/2000,"37.7610971515611, -122.418263705905"
03/13/2006,"37.750859381554, -122.442239948097"
07/12/2005,"37.7661343878594, -122.4219350769"
04/17/2012,"37.7801567608883, -122.405467071089"
06/27/2011,"37.7350600926826, -122.419161089293"
01/20/1998,"37.7493757624863, -122.413497029196"
04/07/2006,"37.7830912706256, -122.48179463024"
05/05/2005,"37.779950743103, -122.400778586814"
04/12/2005,"37.776175551239, -122.443967116976"
03/06/1998,"37.7783043353727, -122.460932890486"
12/19/2014,"37.7848109229534, -122.48514853004"
01/15/2004,"37.7702249019654, -122.423794594898"
02/25/2005,"37.7840910359198, -122.411784369501"
06/23/2005,"37.7629861189183, -122.427843219883"
09/13/2004,"37.7482221604634, -122.424959620185"
04/10/2008,"37.7573502685681, -122.441679426722"
08/02/2012,"37.7796978847625, -122.504603568177"
01/28/2010,"37.7728449107207, -122.479374759179"
02/11/1998,"37.7552887801027, -122.398815532698"
11/16/2006,"37.7551661454975, -122.436602702805"
07/24/1998,"37.7618276409178, -122.398330717815"
10/27/2015,"37.777083463941, -122.416979326588"
07/25/2005,"37.793918784141, -122.419597525731"
